Peer-reviewed,Study,Sample,Gender,N,Age.classification,Combination,WM.type1,WM.type2,Math.type,Reported.Effect.Size,MA.TA.Description,MA.TA.Name,TA.GA.Description,TA.GA.Name,COGN.Description,COGN.Name,ACH.Description,ACH.Name
yes,"Ashkenazi et al., 2017","Ashkenazi et al., 2017",,58,Adult,MA-Maths,,,basic_know,-0.28,Math anxiety,MARS-Short version,,,,,Mathematic,MATAL  - Number line Know.
yes,"Ashkenazi et al., 2017","Ashkenazi et al., 2017",,58,Adult,WM-Maths,spatial,STM,arithmetic,0.19,,,,,Short-term ,Spatial span test -forward,Mathematic,MATAL  - Procedural Know. + Calculation automaticity
yes,"Ashkenazi et al., 2017","Ashkenazi et al., 2017",,58,Adult,WM-Maths,spatial,STM,basic_know,0.03,,,,,Short-term ,Spatial span test -forward,Mathematic,MATAL  - Number line Know.
yes,"Ashkenazi et al., 2017","Ashkenazi et al., 2017",,58,Adult,WM-Maths,spatial,STM,arithmetic,0.19,,,,,Working Memory,Spatial span test -backward,Mathematic,MATAL  - Procedural Know. + Calculation automaticity
yes,"Ashkenazi et al., 2017","Ashkenazi et al., 2017",,58,Adult,WM-Maths,spatial,STM,basic_know,0.46,,,,,Working Memory,Spatial span test -backward,Mathematic,MATAL  - Number line Know.
yes,"Ashkenazi et al., 2017","Ashkenazi et al., 2017",,58,Adult,WM-Maths,verbal,STM,arithmetic,-0.01,,,,,Working Memory,Phonological span test,Mathematic,MATAL  - Procedural Know. + Calculation automaticity
yes,"Ashkenazi et al., 2017","Ashkenazi et al., 2017",,58,Adult,WM-Maths,verbal,STM,basic_know,0.16,,,,,Working Memory,Phonological span test,Mathematic,MATAL  - Number line Know.
yes,"Ashkenazi et al., 2017","Ashkenazi et al., 2017",,58,Adult,WM-Maths,verbal,STM,arithmetic,0.33,,,,,Short-term ,Digit span test-forward,Mathematic,MATAL  - Procedural Know. + Calculation automaticity
yes,"Ashkenazi et al., 2017","Ashkenazi et al., 2017",,58,Adult,WM-Maths,verbal,STM,basic_know,0.31,,,,,Short-term ,Digit span test-forward,Mathematic,MATAL  - Number line Know.
yes,"Ashkenazi et al., 2017","Ashkenazi et al., 2017",,58,Adult,WM-Maths,verbal,STM,arithmetic,0.44,,,,,Working Memory,Digit span test-backward,Mathematic,MATAL  - Procedural Know. + Calculation automaticity
yes,"Ashkenazi et al., 2017","Ashkenazi et al., 2017",,58,Adult,WM-Maths,verbal,STM,basic_know,0.36,,,,,Working Memory,Digit span test-backward,Mathematic,MATAL  - Number line Know.
yes,"Beasley et al., 2001","Beasley et al., 2001",,278,Dev_Group,MA-Maths,,,arithmetic,-0.28,Math anxiety,MASC,,,,,Mathematic,Cog AT - Quantitative
yes,"Beasley et al., 2001","Beasley et al., 2001",,278,Dev_Group,MA-Maths,,,math_apply,-0.14,Math anxiety,MASC,,,,,Mathematic,Cog AT - Verbal
yes,"Beasley et al., 2001","Beasley et al., 2001",,278,Dev_Group,MA-Maths,,,math_apply,-0.19,Math anxiety,MASC,,,,,Mathematic,Cog AT - NonVerbal
yes,"Carey et al., 2017","Carey et al., 2017_Group1",,817,Dev_Group,MA-Maths,,,math_apply,-0.31,Math anxiety,mAMAS,,,,,Mathematic,MaLT-9
yes,"Carey et al., 2017","Carey et al., 2017_Group1",,817,Dev_Group,TA-Maths,,,math_apply,-0.26,,,Test anxiety,CTAS,,,Mathematic,MaLT-9
yes,"Carey et al., 2017","Carey et al., 2017_Group1",,817,Dev_Group,MA-TA,,,,0.71,Math anxiety,mAMAS,Test anxiety,CTAS,,,,
yes,"Carey et al., 2017","Carey et al., 2017_Group2",,903,Dev_Group,MA-Maths,,,math_apply,-0.28,Math anxiety,mAMAS,,,,,Mathematic,MaLT-12/13
yes,"Carey et al., 2017","Carey et al., 2017_Group2",,903,Dev_Group,TA-Maths,,,math_apply,-0.16,,,Test anxiety,CTAS,,,Mathematic,MaLT-12/13
yes,"Carey et al., 2017","Carey et al., 2017_Group2",,903,Dev_Group,MA-TA,,,,0.69,Math anxiety,mAMAS,Test anxiety,CTAS,,,,
yes,"Caviola et al., 2017","Caviola et al., 2017",,1011,Dev_Group,MA-Maths,,,arithmetic,-0.12,Math anxiety,AMAS,,,,,Mathematic,ACMT 
yes,"Caviola et al., 2017","Caviola et al., 2017",,1008,Dev_Group,MA-Maths,,,arithmetic,-0.22,Math anxiety,AMAS,,,,,Mathematic,Math Fluency
yes,"Caviola et al., 2017","Caviola et al., 2017",,1009,Dev_Group,MA-Maths,,,arithmetic,-0.24,Math anxiety,AMAS,,,,,Mathematic,Math Fluency
yes,"Caviola et al., 2017","Caviola et al., 2017",,1009,Dev_Group,MA-Maths,,,arithmetic,-0.19,Math anxiety,AMAS,,,,,Mathematic,Math Fluency
yes,"Caviola et al., 2017","Caviola et al., 2017",,1012,Dev_Group,MA-Maths,,,arithmetic,-0.11,Math anxiety,AMAS,,,,,Mathematic,ACMT 
yes,"Caviola et al., 2017","Caviola et al., 2017",,1009,Dev_Group,MA-Maths,,,arithmetic,-0.19,Math anxiety,AMAS,,,,,Mathematic,Math Fluency
yes,"Caviola et al., 2017","Caviola et al., 2017",,1010,Dev_Group,MA-Maths,,,arithmetic,-0.22,Math anxiety,AMAS,,,,,Mathematic,Math Fluency
yes,"Caviola et al., 2017","Caviola et al., 2017",,1010,Dev_Group,MA-Maths,,,arithmetic,-0.16,Math anxiety,AMAS,,,,,Mathematic,Math Fluency
yes,"Caviola et al., 2017","Caviola et al., 2017",,1012,Dev_Group,MA-Maths,,,arithmetic,-0.11,Math anxiety,AMAS,,,,,Mathematic,ACMT 
yes,"Caviola et al., 2017","Caviola et al., 2017",,1009,Dev_Group,MA-Maths,,,arithmetic,-0.2,Math anxiety,AMAS,,,,,Mathematic,Math Fluency
yes,"Caviola et al., 2017","Caviola et al., 2017",,1010,Dev_Group,MA-Maths,,,arithmetic,-0.21,Math anxiety,AMAS,,,,,Mathematic,Math Fluency
yes,"Caviola et al., 2017","Caviola et al., 2017",,1010,Dev_Group,MA-Maths,,,arithmetic,-0.17,Math anxiety,AMAS,,,,,Mathematic,Math Fluency
yes,"Devine et al., 2012","Devine et al., 2012_male sample",males,268,Dev_Group,MA-Maths,,,arithmetic,-0.18,Math anxiety,AMAS,,,,,Mathematics,Self-developed
yes,"Devine et al., 2012","Devine et al., 2012_male sample",males,268,Dev_Group,TA-Maths,,,arithmetic,-0.11,,,Test anxiety,Saransons TA Scale,,,Mathematics,Self-developed
yes,"Devine et al., 2012","Devine et al., 2012_male sample",males,268,Dev_Group,MA-TA,,,,0.76,Math anxiety,AMAS,Test anxiety,Saransons TA Scale,,,,
yes,"Devine et al., 2012","Devine et al., 2012_female sample",females,165,Dev_Group,MA-Maths,,,arithmetic,-0.35,Math anxiety,AMAS,,,,,Mathematics,Self-developed
yes,"Devine et al., 2012","Devine et al., 2012_female sample",females,165,Dev_Group,TA-Maths,,,arithmetic,-0.21,,,Test anxiety,Saransons TA Scale,,,Mathematics,Self-developed
yes,"Devine et al., 2012","Devine et al., 2012_female sample",females,165,Dev_Group,MA-TA,,,,0.36,Math anxiety,AMAS,Test anxiety,Saransons TA Scale,,,,
yes,"Devine et al., 2012","Devine et al., 2012_male sample",males,268,Dev_Group,MA-Maths,,,arithmetic,-0.17,Math anxiety,AMAS,,,,,Mathematics,Self-developed
yes,"Devine et al., 2012","Devine et al., 2012_male sample",males,268,Dev_Group,TA-Maths,,,arithmetic,-0.11,,,Test anxiety,Saransons TA Scale,,,Mathematics,Self-developed
yes,"Devine et al., 2012","Devine et al., 2012_male sample",males,268,Dev_Group,MA-TA,,,,0.49,Math anxiety,AMAS,Test anxiety,Saransons TA Scale,,,,
yes,"Devine et al., 2012","Devine et al., 2012_female sample",females,165,Dev_Group,MA-Maths,,,arithmetic,-0.33,Math anxiety,AMAS,,,,,Mathematics,Self-developed
yes,"Devine et al., 2012","Devine et al., 2012_female sample",females,165,Dev_Group,TA-Maths,,,arithmetic,-0.2,,,Test anxiety,Saransons TA Scale,,,Mathematics,Self-developed
yes,"Devine et al., 2012","Devine et al., 2012_female sample",females,165,Dev_Group,MA-TA,,,,0.36,Math anxiety,AMAS,Test anxiety,Saransons TA Scale,,,,
yes,"Erturan et al., 2015","Erturan et al., 2015_male sample_S1",males,71,Dev_Group,MA-Maths,,,arithmetic,-0.15,Math anxiety,MAS-NL,,,,,Mathematics,TTR
yes,"Erturan et al., 2015","Erturan et al., 2015_female sample_S1",females,63,Dev_Group,MA-Maths,,,arithmetic,-0.37,Math anxiety,MAS-NL,,,,,Mathematics,TTR
yes,"Erturan et al., 2015","Erturan et al., 2015_male sample_S2",males,110,Dev_Group,MA-Maths,,,arithmetic,-0.07,Math anxiety,MAS-NL,,,,,Mathematics,TTA
yes,"Erturan et al., 2015","Erturan et al., 2015_female sample_S2",females,98,Dev_Group,MA-Maths,,,arithmetic,-0.23,Math anxiety,MAS-NL,,,,,Mathematics,TTA
yes,"Ferla et al., 2009","Ferla et al., 2009",,8796,Dev_Group,MA-Maths,,,math_apply,-0.24,Math anxiety,PISA ,,,,,Mathematics,PISA
yes,"Hill et al., 2016","Hill et al., 2016_ female children",females,322,Dev_Group,MA-Maths,,,arithmetic,-0.13,Math anxiety,AMAS,,,,,Mathematics,ACMT
yes,"Hill et al., 2016","Hill et al., 2016_male children",males,148,Dev_Group,MA-Maths,,,arithmetic,-0.07,Math anxiety,AMAS,,,,,Mathematics,ACMT
yes,"Hill et al., 2016","Hill et al., 2016_ female adolescent",females,317,Dev_Group,MA-Maths,,,arithmetic,-0.34,Math anxiety,AMAS,,,,,Mathematics,ACMT
yes,"Hill et al., 2016","Hill et al., 2016_male adolescent",males,194,Dev_Group,MA-Maths,,,arithmetic,-0.28,Math anxiety,AMAS,,,,,Mathematics,ACMT
yes,"Ramirez et al., 2016","Ramirez et al., 2016",,465,Dev_Group,MA-Maths,,,math_apply,-0.28,Math anxiety,CMAQ-R,,,,,Mathematics,WJ-III
yes,"Sorvo et al., 2017","Sorvo et al., 2017_female sample",females,638,Dev_Group,MA-Maths,,,arithmetic,-0.16,Math anxiety,self created,,,,,Mathematics,Composite
yes,"Sorvo et al., 2017","Sorvo et al., 2017_male sample",males,689,Dev_Group,MA-Maths,,,arithmetic,-0.12,Math anxiety,self created,,,,,Mathematics,Composite
yes,"Timmerman et al., 2017","Timmerman et al., 2017",,108,Dev_Group,TA-Maths,,,arithmetic,0.08,,,Test anxiety,PMTK-2,,,Mathematics,Math speed test
yes,"Timmerman et al., 2017","Timmerman et al., 2017_male sample",males,67,Dev_Group,MA-Maths,,,arithmetic,-0.12,Math anxiety,MEQ,,,,,Mathematics,Math speed test
yes,"Timmerman et al., 2017","Timmerman et al., 2017_female sample",females,41,Dev_Group,MA-Maths,,,arithmetic,-0.28,Math anxiety,MEQ,,,,,Mathematics,Math speed test
yes,"Timmerman et al., 2017","Timmerman et al., 2017_male sample",males,67,Dev_Group,MA-Maths,,,math_apply,-0.17,Math anxiety,MEQ,,,,,Mathematics,Cito test
yes,"Timmerman et al., 2017","Timmerman et al., 2017_female sample",females,41,Dev_Group,MA-Maths,,,math_apply,-0.29,Math anxiety,MEQ,,,,,Mathematics,Cito test
yes,"Braham et al., 2018","Braham et al., 2018",,87,Adult,MA-Maths,,,basic_know,-0.04,Math anxiety,MARS-A,,,,,Mathematics,Self-developed
yes,"Braham et al., 2018","Braham et al., 2018",,87,Adult,MA-Maths,,,arithmetic,-0.19,Math anxiety,MARS-A,,,,,Mathematics,WJ-III
yes,"Braham et al., 2018","Braham et al., 2018",,87,Adult,MA-Maths,,,arithmetic,-0.17,Math anxiety,MARS-A,,,,,Mathematics,WJ-III
yes,"Braham et al., 2018","Braham et al., 2018",,87,Adult,MA-Maths,,,math_apply,-0.22,Math anxiety,MARS-A,,,,,Mathematics,WJ-III
yes,"Braham et al., 2018","Braham et al., 2018",,87,Adult,MA-WM,verbal,STM,,-0.13,Math anxiety,MARS-A,,,Working memory,Backward digits,,
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,MA-Maths,,,basic_know,-0.03,Math anxiety,SEMA,,,,,Mathematics,Self-developed
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,MA-Maths,,,arithmetic,-0.13,Math anxiety,SEMA,,,,,Mathematics,Self-developed
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,MA-Maths,,,arithmetic,-0.05,Math anxiety,SEMA,,,,,Mathematics,Self-developed
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,MA-GA,,,,0.37,Math anxiety,SEMA,General Anxiety,DAYS,,,,
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,MA-GA,,,,0.09,Math anxiety,SEMA,General Anxiety,DAYS,,,,
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,MA-WM,verbal,WM,,-0.01,Math anxiety,SEMA,,,Working memory,Backward word ,,
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,MA-WM,verbal,WM,,-0.07,Math anxiety,SEMA,,,Working memory,Backward digits,,
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,MA-WM,spatial,WM,,-0.01,Math anxiety,SEMA,,,Working memory,Path dual task,,
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,WM-Maths,verbal,WM,basic_know,0.02,,,,,Working memory,Backward word ,Mathematics,Self-developed
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,WM-Maths,verbal,WM,arithmetic,0.1,,,,,Working memory,Backward word ,Mathematics,Self-developed
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,WM-Maths,verbal,WM,arithmetic,0.16,,,,,Working memory,Backward word ,Mathematics,Self-developed
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,WM-Maths,verbal,WM,basic_know,0.3,,,,,Working memory,Backward digits,Mathematics,Self-developed
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,WM-Maths,verbal,WM,arithmetic,0.02,,,,,Working memory,Backward digits,Mathematics,Self-developed
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,WM-Maths,verbal,WM,arithmetic,0.16,,,,,Working memory,Backward digits,Mathematics,Self-developed
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,WM-Maths,spatial,WM,basic_know,0.19,,,,,Working memory,Path dual task,Mathematics,Self-developed
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,WM-Maths,spatial,WM,arithmetic,0.03,,,,,Working memory,Path dual task,Mathematics,Self-developed
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,WM-Maths,spatial,WM,arithmetic,0.1,,,,,Working memory,Path dual task,Mathematics,Self-developed
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,GA-Maths,,,basic_know,-0.03,,,General Anxiety,DAYS,,,Mathematics,Self-developed
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,GA-Maths,,,arithmetic,-0.12,,,General Anxiety,DAYS,,,Mathematics,Self-developed
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,GA-Maths,,,arithmetic,-0.07,,,General Anxiety,DAYS,,,Mathematics,Self-developed
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,GA-Maths,,,basic_know,-0.11,,,General Anxiety,DAYS,,,Mathematics,Self-developed
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,GA-Maths,,,arithmetic,-0.23,,,General Anxiety,DAYS,,,Mathematics,Self-developed
yes,"Cargnelutti et al., 2017a","Cargnelutti et al., 2017a",,156,Dev_Group,GA-Maths,,,arithmetic,-0.1,,,General Anxiety,DAYS,,,Mathematics,Self-developed
yes,"Cohen et al., 2017","Cohen et al., 2017",,27,Dev_Group,MA-Maths,,,arithmetic,-0.28,Math anxiety,AMAS,,,,,Mathematics,WJ-III
yes,"Cohen et al., 2017","Cohen et al., 2017",,27,Dev_Group,MA-Maths,,,arithmetic,-0.42,Math anxiety,AMAS,,,,,Mathamtics,WJ-III
yes,"Gunderson et al., 2017","Gunderson et al., 2017",,595,Dev_Group,MA-Maths,,,math_apply,-0.13,Math anxiety,CMAQ-R,,,,,Mathematics,WJ-III
yes,"Gunderson et al., 2017","Gunderson et al., 2017",,595,Dev_Group,MA-Maths,,,math_apply,-0.28,Math anxiety,CMAQ-R,,,,,Mathematics,WJ-III
yes,"Gunderson et al., 2017","Gunderson et al., 2017",,595,Dev_Group,MA-Maths,,,math_apply,-0.38,Math anxiety,CMAQ-R,,,,,Mathematics,WJ-III
yes,"Gunderson et al., 2017","Gunderson et al., 2017",,595,Dev_Group,MA-Maths,,,math_apply,-0.42,Math anxiety,CMAQ-R,,,,,Mathematics,WJ-III
yes,"Justicia-Galliano et al., 2017","Justicia-Galliano et al., 2017",,167,Dev_Group,MA-Maths,,,arithmetic,-0.26,Math anxiety,AMAS,,,,,Mathematics,WJ-IIII
yes,"Justicia-Galliano et al., 2017","Justicia-Galliano et al., 2017",,167,Dev_Group,MA-Maths,,,math_apply,-0.27,Math anxiety,AMAS,,,,,Mathematics,BADyG
yes,"Justicia-Galliano et al., 2017","Justicia-Galliano et al., 2017",,165,Dev_Group,MA-Maths,,,grade,-0.27,Math anxiety,AMAS,,,,,Mathematics,Teacher rates
yes,"Justicia-Galliano et al., 2017","Justicia-Galliano et al., 2017",,164,Dev_Group,MA-WM,verbal,WM,,-0.23,Math anxiety,AMAS,,,Working memory,Backward word and digits,,
yes,"Justicia-Galliano et al., 2017","Justicia-Galliano et al., 2017",,167,Dev_Group,MA-GA,,,,0.46,Math anxiety,AMAS,General Anxiety,SATIC,,,,
yes,"Justicia-Galliano et al., 2017","Justicia-Galliano et al., 2017",,164,Dev_Group,WM-Maths,verbal,WM,arithmetic,0.38,,,,,Working memory,Backward word and digits,Mathematics,WJ-IIII
yes,"Justicia-Galliano et al., 2017","Justicia-Galliano et al., 2017",,164,Dev_Group,WM-Maths,verbal,WM,math_apply,0.4,,,,,Working memory,Backward word and digits,Mathematics,BADyG
yes,"Justicia-Galliano et al., 2017","Justicia-Galliano et al., 2017",,164,Dev_Group,WM-Maths,verbal,WM,grade,0.33,,,,,Working memory,Backward word and digits,Mathematics,Teacher rates
yes,"Justicia-Galliano et al., 2017","Justicia-Galliano et al., 2017",,167,Dev_Group,GA-Maths,,,arithmetic,-0.16,,,General Anxiety,SATIC,,,Mathematics,WJ-IIII
yes,"Justicia-Galliano et al., 2017","Justicia-Galliano et al., 2017",,167,Dev_Group,GA-Maths,,,math_apply,-0.14,,,General Anxiety,SATIC,,,Mathematics,BADyG
yes,"Justicia-Galliano et al., 2017","Justicia-Galliano et al., 2017",,165,Dev_Group,GA-Maths,,,grade,-0.19,,,General Anxiety,SATIC,,,Mathematics,Teacher rates
yes,"Grays et al., 2017","Grays et al., 2017",,81,Dev_Group,MA-Maths,,,arithmetic,-0.16,Math anxiety,MARS-E,,,,,Mathematics,MEAP Math
yes,"Lee & Cho, 2018","Lee & Cho, 2018",,82,Adult,MA-Maths,,,arithmetic,-0.28,Math anxiety,K-MARS,,,,,Mathematics,Self-developed
yes,"Primi et al., 2018","Primi et al., 2018",,181,Adult,MA-Maths,,,math_apply,-0.29,Math anxiety,AMAS,,,,,Mathematics,BNT + PRS
yes,"Schillinger et al., 2018","Schillinger et al., 2018",,341,Adult,MA-Maths,,,arithmetic,-0.24,Math anxiety,AMAS-G,,,,,Mathematics,Vogel et al.
yes,"Schillinger et al., 2018","Schillinger et al., 2018",,341,Adult,MA-Maths,,,arithmetic,-0.27,Math anxiety,AMAS-G,,,,,Mathematics,Vogel et al.
yes,"Schillinger et al., 2018","Schillinger et al., 2018",,341,Adult,MA-Maths,,,math_apply,-0.41,Math anxiety,AMAS-G,,,,,Mathematics,M-PA
yes,"Wu et al., 2012","Wu et al., 2012",,162,Dev_Group,MA-Maths,,,arithmetic,-0.34,Math anxiety,SEMA,,,,,Mathematics,WIAT-II
yes,"Wu et al., 2012","Wu et al., 2012",,162,Dev_Group,MA-Maths,,,math_apply,-0.18,Math anxiety,SEMA,,,,,Mathematics,WIAT-II
yes,"Skagerlund et al., 2018","Skagerlund et al., 2018",,2063,Adult,MA-Maths,,,math_apply,-0.32,Math anxiety,MAS-UK,,,,,Mathematics,Schwartz + BNT
yes,"Recber et al., 2018","Recber et al., 2018",,934,Dev_Group,MA-Maths,,,grade,-0.42,Math anxiety,MANX,,,,,Mathematics,SLDE
yes,"Jansen et al., 2016","Jansen et al., 2016_male sample",males,214,Adult,MA-Maths,,,arithmetic,-0.1,Math anxiety,MASC,,,,,Mathematics,Math garden (customized)
yes,"Jansen et al., 2016","Jansen et al., 2016_female sample",females,307,Adult,MA-Maths,,,arithmetic,-0.39,Math anxiety,MASC,,,,,Mathematics,Math garden (customized)
yes,"Novak et al., 2015","Novak et al., 2015",,30,Dev_Group,MA-Maths,,,math_apply,-0.72,Math anxiety,Fenneman-Sherman,,,,,,
yes,"Novak et al., 2015","Novak et al., 2015",,30,Dev_Group,MA-WM,verbal,WM,,-0.45,Math anxiety,Fenneman-Sherman,,,Working memory,Operation span,,
yes,"Ashcraft et al., 2001","Ashcraft et al., 2001_Group1",,66,Adult,MA-Maths,,,grade,-0.29,Math anxiety,SMARS,,,,,,
yes,"Ashcraft et al., 2001","Ashcraft et al., 2001_Group1",,66,Adult,MA-WM,verbal,WM,,-0.36,Math anxiety,SMARS,,,Working Memory,Listenig Span Task,,
yes,"Ashcraft et al., 2001","Ashcraft et al., 2001_Group1",,66,Adult,MA-WM,verbal,WM,,-0.44,Math anxiety,SMARS,,,Working Memory,Computation Span Task,,
yes,"Ashcraft et al., 2001","Ashcraft et al., 2001_Group2",,45,Adult,MA-Maths,,,grade,-0.35,Math anxiety,SMARS,,,,,,
yes,"Ashcraft et al., 2001","Ashcraft et al., 2001_Group2",,45,Adult,MA-WM,verbal,WM,,-0.2,Math anxiety,SMARS,,,Working Memory,Listenig Span Task,,
yes,"Ashcraft et al., 2001","Ashcraft et al., 2001_Group2",,45,Adult,MA-WM,verbal,WM,,-0.4,Math anxiety,SMARS,,,Working Memory,Computation Span Task,,
yes,"Ashcraft et al., 2001","Ashcraft et al., 2001_Group2",,45,Adult,MA-WM,verbal,WM,,-0.44,Math anxiety,SMARS,,,Working Memory,Letter tranformation,,
yes,"Ashcraft et al., 2001","Ashcraft et al., 2001_Group2",,45,Adult,MA-WM,verbal,WM,,-0.44,Math anxiety,SMARS,,,Working Memory,Numer transformation,,
yes,"Zirk-Sadowki et al., 2014","Zirk-Sadowki et al., 2014",,182,Dev_Group,MA-Maths,,,math_apply,-0.39,Math anxiety,Abbreviated AMAS,,,,,,
yes,"VanMier et al., 2019","VanMier et al., 2019_male grade2",males,26,Dev_Group,MA-Maths,,,arithmetic,-0.04,Math anxiety,CMAQ-R,,,,,Mathematics,TTA - Tempo Test Arithmetic
yes,"VanMier et al., 2019","VanMier et al., 2019_female grade2",females,36,Dev_Group,MA-Maths,,,arithmetic,-0.55,Math anxiety,CMAQ-R,,,,,Mathematics,TTA - Tempo Test Arithmetic
yes,"VanMier et al., 2019","VanMier et al., 2019_male grade4",males,31,Dev_Group,MA-Maths,,,arithmetic,-0.09,Math anxiety,CMAQ-R,,,,,Mathematics,TTA - Tempo Test Arithmetic
yes,"VanMier et al., 2019","VanMier et al., 2019_female grade4",females,31,Dev_Group,MA-Maths,,,arithmetic,-0.41,Math anxiety,CMAQ-R,,,,,Mathematics,TTA - Tempo Test Arithmetic
yes,"Devine et al., 2018","Devine et al., 2018",,1757,Dev_Group,MA-Maths,,,math_apply,-0.3,Math anxiety,mAMAS,,,,,Mathematics,MaLT
yes,"Calvo et al., 1992","Calvo et al., 1992",,36,Adult,TA-WM,verbal,STM,,-0.22,,,,Test Anxiety,Short-term memory,Letter span-different letters,,
yes,"Calvo et al., 1992","Calvo et al., 1992",,36,Adult,TA-WM,verbal,WM,,-0.34,,,,Test Anxiety,Working memory,Reading span,,
yes,"Abu-Hilal, 2000","Abu-Hilal, 2000",,394,Dev_Group,MA-Maths,,,math_apply,-0.45,Math anxiety,Self-devolped ,,,,,Mathematics,Non specified
yes,"Abu-Hilal, 2000","Abu-Hilal, 2000",,394,Dev_Group,MA-Maths,,,math_apply,-0.36,Math anxiety,Self-devolped ,,,,,Mathematics,Non specified
yes,"Abu-Hilal, 2000","Abu-Hilal, 2000",,394,Dev_Group,MA-Maths,,,math_apply,-0.4,Math anxiety,Self-devolped ,,,,,Mathematics,Non specified
yes,"Ahmed et al., 2008","Ahmed et al., 2008",,238,Dev_Group,MA-Maths,,,grade,-0.46,Math anxiety,Adapted from AEQ-M,,,,,Mathematics,non specified
yes,"Awofala et al., 2014","Awofala et al., 2014",,350,Dev_Group,MA-Maths,,,math_apply,-0.2,math anxiety,Mathematics Word Problems Inventory (ATMWPI),,,,,Mathematics,Mathmeatics Word Problems Achievement Test (MAWPAT)
yes,"Bai et al., 2001","Bai et al., 2001",,647,Dev_Group,MA-Maths,,,,-0.38,Math anxiety,Mathematics Anxiety Scale?Revised,,,,,Mathematics,Mathematics Benchmark test
yes,"Baia et al, 1990","Baia et al, 1990",,418,Dev_Group,MA-Maths,,,grade,-0.42,Math anxiety,Mathematics Anxiety Rating Scale (MARS),,,,,mathematics,non specified
yes,"Birgin et al., 2010","Birgin et al., 2010_Grade6",,73,Dev_Group,MA-Maths,,,grade,-0.49,Math anxiety,Math Anxiety Scale for Elementary School Student (MAESS),,,,,mathematics,non specified
yes,"Birgin et al., 2010","Birgin et al., 2010_Grade7",,73,Dev_Group,MA-Maths,,,grade,-0.41,Math anxiety,Math Anxiety Scale for Elementary School Student (MAESS),,,,,mathematics,non specified
yes,"Birgin et al., 2010","Birgin et al., 2010_Grade8",,74,Dev_Group,MA-Maths,,,grade,-0.39,Math anxiety,Math Anxiety Scale for Elementary School Student (MAESS),,,,,mathematics,non specified
yes,"Bosmans et al., 2015","Bosmans et al., 2015",,87,Dev_Group,MA-Maths,,,arithmetic,-0.42,Math anxiety,Mathematics Anxiety Rating Scale for Adolescent (MARS-A),,,,,mathematics,Tempo Test Arithmetic
yes,"Bosmans et al., 2015","Bosmans et al., 2015",,87,Dev_Group,MA-Maths,,,math_apply,-0.43,Math anxiety,Mathematics Anxiety Rating Scale for Adolescent (MARS-A),,,,,mathematics,curriculum-based standardized achievement test
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade2",,198,Dev_Group,MA-Maths,,,arithmetic,0.01,Math anxiety,SEMA 2,,,,,mathematics,Written computation
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade2",,198,Dev_Group,MA-Maths,,,arithmetic,0.04,Math anxiety,SEMA 2,,,,,mathematics,Math problems
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade2",,198,Dev_Group,MA-Maths,,,basic_know,-0.61,Math anxiety,SEMA 2,,,,,mathematics,Mat 2-module number 
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade2",,198,Dev_Group,MA-GA,,,,0.29,Math anxiety,SEMA 2,General anxiety,Depression and Anxiety in youth scale - self report (DAYS 2),,,,
