Peer-reviewed,Study,Sample,Gender,N,Age.classification,Combination,WM.type1,WM.type2,Math.type,Reported.Effect.Size,MA.TA.Description,MA.TA.Name,TA.GA.Description,TA.GA.Name,COGN.Description,COGN.Name,ACH.Description,ACH.Name
yes,"Allen et al., 2016","Allen et al., 2016",,59,Dev_Group,MA-Maths,,,arithmetic,-0.38,Math Anxiety,MARS-E,,,,,Mathematic,Self developed
yes,"Allen et al., 2016","Allen et al., 2016",,59,Dev_Group,MA-Maths,,,arithmetic,-0.19,Math Anxiety,MARS-E,,,,,Mathematic,Self developed
yes,"Allen et al., 2016","Allen et al., 2016",,59,Dev_Group,WM-Maths,verbal,WM,arithmetic,0.46,,,,,Working Memory,Total Digit span (WISC-III),Mathematic,Self developed
yes,"Allen et al., 2016","Allen et al., 2016",,59,Dev_Group,WM-Maths,verbal,WM,arithmetic,0.36,,,,,Working Memory,Total Digit span (WISC-III),Mathematic,Self developed
yes,"Allen et al., 2016","Allen et al., 2016",,59,Dev_Group,WM-Maths,verbal,WM,arithmetic,0.29,,,,,Working Memory,Total Digit span (WISC-III),Mathematic,Self developed
yes,"Allen et al., 2016","Allen et al., 2016",,59,Dev_Group,WM-Maths,verbal,WM,arithmetic,0.24,,,,,Working Memory,Total Digit span (WISC-III),Mathematic,Self developed
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,MA-WM,verbal,STM,,-0.08,Math Anxiety,MARS-R,,,Short term memory,Digit span forwards (WAIS-IV),,
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,MA-WM,verbal,STM,,-0.08,Math Anxiety,MARS-R,,,Short term memory,Digit span backwards (WAIS-IV),,
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,MA-WM,verbal,WM,,-0.12,Math Anxiety,MARS-R,,,Working memory,Digit span sequencing (WAIS-IV),,
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,MA-WM,verbal,WM,,-0.09,Math Anxiety,MARS-R,,,Working memory,Letter-numer sequencing ,,
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,MA-Maths,,,arithmetic,-0.28,Math Anxiety,MARS-R,,,,,Mathematic,WRAT-IV
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,MA-Maths,,,math_apply,-0.32,Math Anxiety,MARS-R,,,,,Mathematic ,Arithmetic (WAIS-IV)
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,MA-TA,,,,0.42,Math Anxiety,MARS-R,Test anxiety,AMAS,,,,
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,WM-Maths,verbal,STM,arithmetic,0.02,,,,,Short term memory,Digit span forwards (WAIS-IV),Mathematic,WRAT-IV
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,WM-Maths,verbal,STM,math_apply,0.44,,,,,Short term memory,Digit span forwards (WAIS-IV),Mathematic ,Arithmetic (WAIS-IV)
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,TA-WM,verbal,STM,,-0.12,,,Test anxiety,AMAS,Short term memory,Digit span forwards (WAIS-IV),,
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,WM-Maths,verbal,STM,arithmetic,0.22,,,,,Short term memory,Digit span backwards (WAIS-IV),Mathematic,WRAT-IV
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,WM-Maths,verbal,STM,math_apply,0.52,,,,,Short term memory,Digit span backwards (WAIS-IV),Mathematic ,Arithmetic (WAIS-IV)
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,TA-WM,verbal,STM,,-0.16,,,Test anxiety,AMAS,Short term memory,Digit span backwards (WAIS-IV),,
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,WM-Maths,verbal,WM,arithmetic,0.19,,,,,Working memory,Digit span sequencing (WAIS-IV),Mathematic,WRAT-IV
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,WM-Maths,verbal,WM,math_apply,0.34,,,,,Working memory,Digit span sequencing (WAIS-IV),Mathematic ,Arithmetic (WAIS-IV)
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,TA-WM,verbal,WM,,-0.11,,,Test anxiety,AMAS,Working memory,Digit span sequencing (WAIS-IV),,
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,WM-Maths,verbal,WM,arithmetic,0.08,,,,,Working memory,Letter-numer sequencing ,Mathematic,WRAT-IV
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,WM-Maths,verbal,WM,math_apply,0.34,,,,,Working memory,Letter-numer sequencing ,Mathematic ,Arithmetic (WAIS-IV)
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,TA-WM,verbal,WM,,0.02,,,Test anxiety,AMAS,Working memory,Letter-numer sequencing ,,
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,TA-Maths,,,arithmetic,-0.21,,,Test anxiety,AMAS,,,Mathematic,
yes,"Buelow et al., 2013","Buelow et al., 2013",,172,Adult,TA-Maths,,,math_apply,-0.23,,,Test anxiety,AMAS,,,Mathematic ,
yes,"Vukovik et al., 2013","Vukovik et al., 2013",,113,Dev_Group,MA-WM,spatial,WM,,-0.08,Math Anxiety,Self developed,,,Workig memory,S CPT (Visual Matrix Subtest),,
yes,"Vukovik et al., 2013","Vukovik et al., 2013",,113,Dev_Group,MA-Maths,,,basic_know,-0.22,Math Anxiety,Self developed,,,,,Mathematic,WJ-III
yes,"Vukovik et al., 2013","Vukovik et al., 2013",,113,Dev_Group,MA-Maths,,,arithmetic,-0.32,Math Anxiety,Self developed,,,,,Mathematic,SDMT-4
yes,"Vukovik et al., 2013","Vukovik et al., 2013",,113,Dev_Group,MA-Maths,,,arithmetic,-0.28,Math Anxiety,Self developed,,,,,Mathematic,SMTA-4
yes,"Vukovik et al., 2013","Vukovik et al., 2013",,113,Dev_Group,MA-Maths,,,math_apply,-0.36,Math Anxiety,Self developed,,,,,Mathematic,Story problems. Algebra. Data analysis
yes,"Vukovik et al., 2013","Vukovik et al., 2013",,113,Dev_Group,MA-Maths,,,math_apply,-0.32,Math Anxiety,Self developed,,,,,Mathematic,Story problems. Algebra. Data analysis
yes,"Vukovik et al., 2013","Vukovik et al., 2013",,113,Dev_Group,MA-Maths,,,math_apply,-0.12,Math Anxiety,Self developed,,,,,Mathematic,KeyMath3
yes,"Vukovik et al., 2013","Vukovik et al., 2013",,113,Dev_Group,MA-Maths,,,math_apply,-0.11,Math Anxiety,Self developed,,,,,Mathematic,KeyMath3
yes,"Vukovik et al., 2013","Vukovik et al., 2013",,113,Dev_Group,WM-Maths,spatial,WM,basic_know,0.15,,,,,Workig memory,S CPT (Visual Matrix Subtest),Mathematic,WJ-III
yes,"Vukovik et al., 2013","Vukovik et al., 2013",,113,Dev_Group,WM-Maths,spatial,WM,arithmetic,0.12,,,,,Workig memory,S CPT (Visual Matrix Subtest),Mathematic,SDMT-4
yes,"Vukovik et al., 2013","Vukovik et al., 2013",,113,Dev_Group,WM-Maths,spatial,WM,arithmetic,0.19,,,,,Workig memory,S CPT (Visual Matrix Subtest),Mathematic,SMTA-4
yes,"Vukovik et al., 2013","Vukovik et al., 2013",,113,Dev_Group,WM-Maths,spatial,WM,math_apply,0.41,,,,,Workig memory,S CPT (Visual Matrix Subtest),Mathematic,Story problems. Algebra. Data analysis
yes,"Vukovik et al., 2013","Vukovik et al., 2013",,113,Dev_Group,WM-Maths,spatial,WM,math_apply,0.3,,,,,Workig memory,S CPT (Visual Matrix Subtest),Mathematic,Story problems. Algebra. Data analysis
yes,"Vukovik et al., 2013","Vukovik et al., 2013",,113,Dev_Group,WM-Maths,spatial,WM,math_apply,0.32,,,,,Workig memory,S CPT (Visual Matrix Subtest),Mathematic,KeyMath3
yes,"Vukovik et al., 2013","Vukovik et al., 2013",,113,Dev_Group,WM-Maths,spatial,WM,math_apply,0.32,,,,,Workig memory,S CPT (Visual Matrix Subtest),Mathematic,KeyMath3
